,0,1
0,42.3592429,-76.5957786
1,42.4492349,-76.6318136
2,42.4864295,-76.57686249999999
3,42.5444088,-76.5308494
4,42.5851604,-76.35666549999999
5,42.5501913,-76.293993
6,42.5111652,-76.35048069999999
7,42.4439614,-76.5018807
8,42.3935043,-76.37196689999999
9,42.4658798,-76.4885406
10,42.4733177,-76.467967
11,42.4507633,-76.4955939
12,42.4415347,-76.50224109999999
13,42.4339599,-76.4928395
14,42.4376724,-76.4782768
15,42.3592429,-76.5957786
16,42.4439614,-76.5018807
17,42.4439614,-76.5018807
18,42.4439614,-76.5018807
19,42.5431785,-76.5372161
20,42.4905785,-76.6643728
21,42.5379118,-76.6557098
22,42.4752435,-76.4678321
23,42.4606618,-76.49811919999999
24,42.4396742,-76.5181446
25,42.5442002,-76.53398039999999
26,42.5369191,-76.6522811
27,42.454911,-76.4985095
28,42.4423341,-76.4834944
